Uid,Activity,"state (0:stop, 1:move)",Timestamp,X,Y,Z,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:07.0,-31.44809,15.086967,-27.73288,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:07.1,-30.947815,15.383237,-27.199493,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:07.2,-30.494568,13.020123,-28.161713,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:07.3,-29.713776,11.842201,-28.963959,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:07.4,-29.611176,10.658401,-28.879105,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:07.5,-29.542572,9.834448,-29.591751,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:07.6,-29.23233,9.720246,-29.165253,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:07.7,-29.058258,9.502357,-29.881973,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:07.8,-29.757446,11.229126,-28.949173,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:07.9,-28.988831,11.396445,-29.366135,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:08.0,-29.625305,11.425493,-28.953156,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:08.1,-29.75705,12.3145,-28.739319,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:08.2,-29.877045,12.209759,-28.638123,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:08.3,-30.521118,11.581496,-28.257263,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:08.4,-30.741211,11.547745,-28.576263,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:08.5,-30.872772,9.345682,-28.792587,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:08.6,-30.9888,8.05282,-28.74025,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:08.7,-30.134308,7.216833,-29.826569,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:08.8,-30.054504,7.019363,-29.839539,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:08.9,-29.463043,7.264946,-30.661057,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:09.0,-29.567902,8.392439,-30.773972,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:09.1,-29.394073,8.101824,-30.313843,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:09.2,-30.463165,8.645399,-30.118774,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:09.3,-29.987793,9.711278,-30.527069,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:09.4,-30.394684,9.465745,-30.354782,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:09.5,-30.748505,9.615603,-30.241653,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:09.6,-31.072754,9.876437,-29.622757,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:09.7,-31.06543,7.61132,-30.092422,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:09.8,-31.02533,6.275246,-29.649368,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:09.9,-31.226868,5.475618,-30.272995,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:10.0,-30.638184,5.303797,-30.8405,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:10.1,-30.254791,5.540867,-31.476501,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:10.2,-29.911011,6.999453,-31.28418,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:10.3,-28.865875,6.704731,-32.28511,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:10.4,-29.877563,8.397411,-30.946442,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:10.5,-30.450958,8.913789,-30.725937,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:10.6,-30.286713,9.293503,-30.634171,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:10.7,-30.519745,10.27456,-30.88681,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:10.8,-31.24884,11.794834,-30.287521,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:10.9,-31.517609,10.821138,-29.899094,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:11.0,-31.489227,9.503977,-30.118637,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:11.1,-30.912689,8.996728,-30.565063,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:11.2,-30.449524,9.09142,-31.776031,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:11.3,-30.268585,10.34912,-32.149582,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:11.4,-29.511414,11.345271,-32.513702,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:11.5,-29.651184,10.000265,-33.12236,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:11.6,-30.781067,10.929165,-32.118256,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:11.7,-30.592255,11.354836,-32.518463,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:11.8,-30.480682,11.679162,-33.304352,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:11.9,-30.66449,12.499668,-33.123367,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:12.0,-31.178467,14.008945,-32.041977,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:12.1,-32.231171,13.518462,-31.95462,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:12.2,-32.603119,11.075821,-32.299515,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:12.3,-32.00238,9.403762,-32.826324,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:12.4,-32.633942,7.833298,-33.750656,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:12.5,-32.322784,7.289865,-33.874832,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:12.6,-32.312408,6.847,-34.527756,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:12.7,-32.429321,7.610151,-34.493683,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:12.8,-31.386719,7.017511,-36.04628,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:12.9,-31.480377,8.395464,-36.015945,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:13.0,-31.709534,7.482866,-36.281464,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:13.1,-32.110413,6.54114,-35.990112,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:13.2,-33.524811,5.653196,-34.916428,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:13.3,-34.898712,2.619894,-33.480988,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:13.4,-35.742188,0.667503,-32.512253,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,38:02.9,-39.745667,12.449038,-26.645828,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,38:03.0,-39.055481,12.887362,-26.556717,
