Uid,Activity,"state (0:stop, 1:move)",Timestamp,X,Y,Z,,,
stop1_ori,"""stop on point 1""",0,48:42.0,-90.172434,-7.55,0.465195,,,
stop1_ori,"""stop on point 1""",0,48:58.3,-89.961667,-7.678534,0.571213,,,
stop1_ori,"""stop on point 1""",0,48:58.4,-90.021079,-7.513196,0.646022,,,
stop1_ori,"""stop on point 1""",0,48:58.5,-89.931926,-7.589703,0.551588,,,
stop1_ori,"""stop on point 1""",0,48:58.6,-90.001584,-7.531094,0.609556,,,
stop1_ori,"""stop on point 1""",0,48:58.7,-89.932542,-7.491523,0.537316,,,
stop1_ori,"""stop on point 1""",0,48:58.8,-89.893371,-7.492076,0.503057,,,
stop1_ori,"""stop on point 1""",0,48:58.9,-89.928871,-7.468038,0.527005,,,
stop1_ori,"""stop on point 1""",0,48:59.0,-89.895169,-7.519811,0.524915,,,
stop1_ori,"""stop on point 1""",0,48:59.1,-89.917892,-7.513127,0.512408,,,
stop1_ori,"""stop on point 1""",0,48:59.2,-89.902902,-7.497648,0.479756,,,
stop1_ori,"""stop on point 1""",0,48:59.3,-89.844207,-7.482348,0.418925,,,
stop1_ori,"""stop on point 1""",0,48:59.4,-89.81252,-7.504833,0.385283,,,
stop1_ori,"""stop on point 1""",0,48:59.5,-89.785911,-7.511684,0.422762,,,
stop1_ori,"""stop on point 1""",0,48:59.6,-89.788705,-7.54068,0.416431,,,
stop1_ori,"""stop on point 1""",0,48:59.7,-89.810766,-7.534347,0.430295,,,
stop1_ori,"""stop on point 1""",0,48:59.8,-89.778497,-7.580331,0.371794,,,
stop1_ori,"""stop on point 1""",0,48:59.9,-89.844473,-7.582406,0.341243,,,
stop1_ori,"""stop on point 1""",0,49:00.0,-89.787106,-7.669743,0.294444,,,
stop1_ori,"""stop on point 1""",0,49:00.1,-89.800377,-7.638634,0.304433,,,
stop1_ori,"""stop on point 1""",0,49:00.2,-89.754921,-7.648035,0.304534,,,
stop1_ori,"""stop on point 1""",0,49:00.3,-89.758166,-7.635279,0.318679,,,
stop1_ori,"""stop on point 1""",0,49:00.4,-89.760303,-7.61962,0.346796,,,
stop1_ori,"""stop on point 1""",0,49:00.5,-89.807005,-7.602993,0.32783,,,
